origin,destination,price_usd,bucket,color
MXP,CEB,707.75,400-800,#FFFF00
MXP,RLG,,No Data,#CCCCCC
MXP,HAN,529.33,400-800,#FFFF00
MXP,EKO,,No Data,#CCCCCC
MXP,WUU,,No Data,#CCCCCC
MXP,LDG,,No Data,#CCCCCC
MXP,YHF,,No Data,#CCCCCC
MXP,QXG,,No Data,#CCCCCC
MXP,JHB,470.17,400-800,#FFFF00
MXP,BOT,,No Data,#CCCCCC
MXP,QNJ,,No Data,#CCCCCC
MXP,LVM,,No Data,#CCCCCC
MXP,GES,862.91,800-1000,#FFA500
MXP,MZK,,No Data,#CCCCCC
MXP,BWI,1251.85,>1000,#FF0000
MXP,KKD,,No Data,#CCCCCC
MXP,ARH,,No Data,#CCCCCC
MXP,YAZ,,No Data,#CCCCCC
MXP,WTN,,No Data,#CCCCCC
MXP,YES,,No Data,#CCCCCC
MXP,QUB,,No Data,#CCCCCC
MXP,XYK,,No Data,#CCCCCC
MXP,AFL,,No Data,#CCCCCC
MXP,CUK,,No Data,#CCCCCC
MXP,HUS,,No Data,#CCCCCC
MXP,JSR,452.12,400-800,#FFFF00
MXP,OST,,No Data,#CCCCCC
MXP,PVE,,No Data,#CCCCCC
MXP,UUA,,No Data,#CCCCCC
MXP,MDP,,No Data,#CCCCCC
MXP,HHR,,No Data,#CCCCCC
MXP,YRQ,,No Data,#CCCCCC
MXP,TDL,,No Data,#CCCCCC
MXP,ELU,199.2,100-200,#00FF00
MXP,UKU,,No Data,#CCCCCC
MXP,ZKP,,No Data,#CCCCCC
MXP,PUF,183.15,100-200,#00FF00
MXP,DCY,,No Data,#CCCCCC
MXP,TAN,,No Data,#CCCCCC
MXP,YDQ,,No Data,#CCCCCC
MXP,SOF,87.33,<100,#0000FF
MXP,SAC,972.19,800-1000,#FFA500
MXP,GBT,,No Data,#CCCCCC
MXP,DIY,258.19,200-400,#008000
MXP,MWA,2880.57,>1000,#FF0000
MXP,COT,,No Data,#CCCCCC
MXP,PPN,572.99,400-800,#FFFF00
MXP,TGT,,No Data,#CCCCCC
