origin,destination,price_usd,bucket,color
MXP,TEB,,No Data,#CCCCCC
MXP,KSY,222.19,200-400,#008000
MXP,LMY,,No Data,#CCCCCC
MXP,BXD,,No Data,#CCCCCC
MXP,SEU,,No Data,#CCCCCC
MXP,MAX,,No Data,#CCCCCC
MXP,YPQ,,No Data,#CCCCCC
MXP,MWK,,No Data,#CCCCCC
MXP,NOC,459.82,400-800,#FFFF00
MXP,PTY,596.71,400-800,#FFFF00
MXP,ACX,,No Data,#CCCCCC
MXP,KWY,,No Data,#CCCCCC
MXP,PBF,,No Data,#CCCCCC
MXP,DIU,,No Data,#CCCCCC
MXP,CVU,,No Data,#CCCCCC
MXP,YOL,,No Data,#CCCCCC
MXP,IGT,,No Data,#CCCCCC
MXP,BMM,,No Data,#CCCCCC
MXP,KAW,2324.06,>1000,#FF0000
MXP,GOV,,No Data,#CCCCCC
MXP,ELY,,No Data,#CCCCCC
MXP,MVT,,No Data,#CCCCCC
MXP,SSH,107.91,100-200,#00FF00
MXP,RGI,,No Data,#CCCCCC
MXP,MAE,,No Data,#CCCCCC
MXP,VEO,,No Data,#CCCCCC
MXP,YSB,1010.27,>1000,#FF0000
MXP,PKW,,No Data,#CCCCCC
MXP,ZSJ,,No Data,#CCCCCC
MXP,CDJ,,No Data,#CCCCCC
MXP,TSH,,No Data,#CCCCCC
MXP,ZSN,,No Data,#CCCCCC
MXP,ULB,,No Data,#CCCCCC
MXP,DEN,605.12,400-800,#FFFF00
MXP,WBW,,No Data,#CCCCCC
MXP,RIC,429.12,400-800,#FFFF00
MXP,SLM,,No Data,#CCCCCC
MXP,NIO,,No Data,#CCCCCC
MXP,ETZ,,No Data,#CCCCCC
MXP,BDE,,No Data,#CCCCCC
MXP,CJM,,No Data,#CCCCCC
MXP,MWX,,No Data,#CCCCCC
MXP,LLK,,No Data,#CCCCCC
MXP,LKO,443.01,400-800,#FFFF00
MXP,MBL,,No Data,#CCCCCC
MXP,MCN,,No Data,#CCCCCC
MXP,LSH,,No Data,#CCCCCC
MXP,MVD,609.78,400-800,#FFFF00
MXP,DCF,,No Data,#CCCCCC
MXP,XSB,,No Data,#CCCCCC
MXP,MPW,,No Data,#CCCCCC
MXP,VPE,,No Data,#CCCCCC
MXP,SZD,,No Data,#CCCCCC
MXP,HKT,565.02,400-800,#FFFF00
MXP,ABD,,No Data,#CCCCCC
MXP,SRL,,No Data,#CCCCCC
